id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
243937,21234,KTVK,4100,75,CON,1,0,16,40.6907005310058,-92.9041976928711,1020,158,,34,40.6801986694335,-92.898696899414,1020,338,
243612,3934,KTVL,8544,150,ASP,1,0,18,38.9053001403808,-119.991996765136,6251,192.9,,36,38.8824996948242,-119.999000549316,6259,12.9,2037
241159,21235,KTVR,5002,100,ASP,1,0,18,32.3585014343261,-91.0278015136718,85,179,,36,32.3446998596191,-91.027603149414,86,359,
244130,21236,KTVY,6100,100,ASP,1,0,17,40.6208992004394,-112.350997924804,4270,179.1,,35,40.6041984558105,-112.350997924804,4318,359.1,
244593,3935,KTWF,8703,150,ASP,1,0,8,42.4813003540039,-114.50299835205,4141,91,,26,42.4807014465332,-114.471000671386,4149,271,
244594,3935,KTWF,3224,75,ASP,0,0,12,42.4872016906738,-114.494003295898,4104,136,,30,42.4808006286621,-114.485000610351,4145,316,
242023,21237,KTWM,4400,75,ASP,1,0,6,47.0472984313964,-91.7530975341796,1073,63,,24,47.0528984069824,-91.7375030517578,1070,243,
242024,21237,KTWM,2550,150,GRS,0,0,15,47.0507011413574,-91.7481002807617,1075,143,,33,47.0451011657714,-91.7419967651367,1040,323,
241580,21238,KTWT,5052,150,CON,0,1,4,37.535301208496,-87.9559020996093,372,48,,22,37.5446014404296,-87.9429016113281,370,228,
241581,21238,KTWT,4999,150,CON,0,1,10,37.5471992492675,-87.9558029174804,370,106,,28,37.543399810791,-87.9393005371093,370,286,
241582,21238,KTWT,5000,150,ASP,1,0,18,37.548599243164,-87.9539031982421,370,183,,36,37.5349006652832,-87.9548034667968,372,3,
244682,3936,KTXK,6601,144,ASP,1,0,4,33.4463005065918,-94.0014038085937,338,46,,22,33.4590988159179,-93.986099243164,384,226,
244683,3936,KTXK,5200,100,ASP,1,0,13,33.4600982666015,-93.9936981201171,362,135,641,31,33.4500007629394,-93.9815979003906,386,315,
243364,21239,KTYL,7200,75,ASP,1,0,3,34.4454002380371,-110.123001098632,5820,41,,21,34.4603004455566,-110.1070022583,5715,221,200
244560,21240,KTYQ,5500,100,ASP,1,0,18,40.0382003784179,-86.2515029907226,922,179,,36,40.0231018066406,-86.2512969970703,922,359,157
245633,3937,KTYR,7200,150,ASP,1,0,4,32.3459014892578,-95.4106979370117,541,45.1,,22,32.3599014282226,-95.3942031860351,525,225.1,
245634,3937,KTYR,5200,150,ASP,1,0,13,32.3611984252929,-95.405403137207,516,135.1,,31,32.3511009216308,-95.3935012817382,542,315.1,
245635,3937,KTYR,4850,150,ASP,1,0,17,32.3604011535644,-95.405403137207,517,180.2,,35,32.3470993041992,-95.4055023193359,543,0.2,
243473,3938,KTYS,9005,150,CON,1,0,05L,35.8042984008789,-84.005500793457,923,44.8,,23R,35.8218994140625,-83.9841003417968,976,224.8,
243472,3938,KTYS,9000,150,ASP,1,0,05R,35.8000984191894,-84.0039978027343,938,44.8,,23L,35.8176002502441,-83.9825973510742,962,224.8,400
246016,21241,KTZR,5500,100,ASP,1,0,4,39.8947982788085,-83.1420974731445,902,32.2,,22,39.907600402832,-83.1316986083984,904,212.2,
243761,21242,KTZT,4000,75,CON,1,0,18,41.8830986022949,-92.2866973876953,771,171.5,,36,41.871898651123,-92.2844009399414,771,351.5,
241683,21243,KTZV,4000,75,ASP,1,0,4,36.7244987487793,-85.6561965942382,1016,34,,22,36.733600616455,-85.6484985351562,1037,214,
241772,21244,KU00,3500,140,COP,0,0,11,44.6761016845703,-113.3570022583,6003,130,,29,44.6699981689453,-113.34700012207,6008,310,
241773,21244,KU00,2900,90,GRS,0,0,16,44.676700592041,-113.353996276855,5998,174,,34,44.6688995361328,-113.352996826171,6018,354,
245527,21245,KU01,4900,50,ASP,1,0,3,42.793098449707,-112.832000732421,4413,52,,21,42.8014984130859,-112.818000793457,4413,232,
244027,21246,KU02,4314,75,ASP,1,0,1,43.203800201416,-112.352996826171,4481,24,,19,43.2146987915039,-112.346000671386,4488,204,
241523,21247,KU03,3900,60,ASP,1,0,9,42.5932998657226,-114.804000854492,3603,110,,27,42.5896987915039,-114.790000915527,3660,290,
